SYMBOL	GENE	emt.e9.0h.S13	emt.e9.0h.S01	emt.e9.2h.S14	emt.e9.2h.S02	emt.e9.4h.S15	emt.e9.6h.S03	emt.e9.6h.S16	emt.e9.12h.S04	emt.e9.24h.S17	emt.e9.24h.S05	emt.e9.36h.S18	emt.e9.36h.S06	emt.e9.48h.S19	emt.e9.48h.S07	emt.e9.60h.S20	emt.e9.60h.S08	emt.e9.72h.S21	emt.e9.72h.S09	emt.e9.96h.S22	emt.e9.96h.S10	emt.e9.7d.S23	emt.e9.7d.S11	emt.e9.10d.S24	emt.e9.10d.S12
Lypla1	ENSMUSG00000025903.14	3736.03188709581	2739.38106555933	3373.02739814463	2929.60440814934	3431.8590208721	2782.07266327644	3461.08606785355	3251.42766528397	2818.03574016083	2725.35714946734	3017.7718892193	2732.84139476838	2660.23272597967	2263.59675986283	2739.30365846436	2368.11763800574	2578.2887950122	2175.63170212095	2540.99296180115	2056.4598130641	2670.76414900357	2137.44381664815	2732.46687781697	2115.35859805584
Tcea1	ENSMUSG00000033813.15	2398.34004790606	2597.18861618178	2158.65809937193	2525.41728850395	2470.74433044399	2165.1358481218	2256.92284856242	2309.58367882667	1923.81032942144	2125.28972328417	1719.26714761735	1879.63641816141	1587.13185455025	1748.74376259044	1667.68038997208	2081.61830950358	1859.85936515203	1818.84006246942	1987.34083103833	2181.55603314664	1920.79199403085	1743.02268365996	2038.53564565369	1666.92867929654
Gm6104	ENSMUSG00000062588.4	30.1386376247257	40.6264141078714	25.8165182077599	32.0942626021154	21.3581042317358	51.7367898784741	16.149716268783	39.1993560167829	27.7113953268463	35.4418642755843	31.9566384315493	29.7329006999398	17.623919421286	13.1732110176305	17.060668951121	20.0687935424215	24.9388053088977	16.9426197599891	4.00471703987573	17.2897214748218	19.7834381407672	13.9441814692797	28.838700557435	21.4425948679085
Gm37277	ENSMUSG00000103280.1	11.5917837018176	13.5421380359571	9.92943007990766	12.0353484757933	9.70822919624356	19.5233169352732	15.140359001984	12.7133046540918	8.52658317749117	10.9991992579399	19.1739830589296	24.5619614477763	24.4776658628972	9.87990826322285	11.7292099038957	16.6086567247626	4.79592409786495	13.9527456846969	24.0283022392544	18.3067639145172	19.7834381407672	18.9242462797367	24.3326535953358	7.4582938670986
Rgs20	ENSMUSG00000002459.17	33.616172735271	26.1169804979173	27.8024042237415	20.0589141263221	49.5119689008422	45.8797947978921	75.7017950099202	80.5175961425812	70.3443112143021	95.3263935688128	67.1089407062535	85.3204976606967	75.3912108577234	75.7459633513752	56.5134659005883	66.4346268990506	55.6327195352334	65.7772296564283	67.0790104179185	38.6476127084252	71.9397750573352	54.7807129150272	77.5040077481066	74.5829386709861
Gm17100	ENSMUSG00000091305.1	1.15917837018176	0.967295573996938	0.0	2.00589141263221	1.94164583924871	0.976165846763662	1.00935726679894	1.05944205450765	0.0	0.0	0.0	0.0	0.0	1.09776758480254	3.19887542833519	0.0	0.95918481957299	1.99324938352813	0.0	1.0170424396954	1.79849437643338	0.0	0.901209392419844	1.86457346677465
Gm37079	ENSMUSG00000102653.1	0.0	0.0	0.0	0.0	0.970822919624356	1.95233169352732	0.0	0.0	2.13164579437279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.98987407529219	0.0	1.0170424396954	1.79849437643338	0.0	0.901209392419844	1.86457346677465
Gm16041	ENSMUSG00000085623.1	0.0	0.0	0.992943007990766	0.0	3.88329167849743	0.0	0.0	0.0	0.0	0.0	5.32610640525821	7.75640887824515	3.91642653806355	1.09776758480254	1.06629180944506	0.692027363531777	2.87755445871897	0.0	0.0	0.0	1.79849437643338	0.0	0.901209392419844	1.86457346677465
Gm17101	ENSMUSG00000091665.1	0.0	0.0	0.0	0.0	0.970822919624356	0.976165846763662	0.0	1.05944205450765	0.0	0.0	1.06522128105164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0170424396954	0.0	0.996012962091404	0.901209392419844	0.0
Atp6v1h	ENSMUSG00000033793.12	2575.69433854387	2394.05654564242	2752.4380181504	2268.66318768703	1938.73337048984	1456.43944337138	1653.32720301666	1516.06158000044	1322.68621540832	1121.91832430987	1783.18042448045	1703.82448358785	1497.05404417479	1552.24336491079	2306.38918382967	2018.64381942219	1644.0427807481	1716.18771921772	1771.08611088504	1786.94356654482	1842.557488656	2012.94219638673	2084.4973246671	2074.3379817868
Gm7182	ENSMUSG00000104352.1	0.0	0.0	0.0	2.00589141263221	0.0	0.0	0.0	0.0	1.0658228971864	0.0	0.0	1.29273481304086	0.0	0.0	0.0	2.07608209059533	0.0	1.99324938352813	1.00117925996893	1.0170424396954	0.0	0.0	0.901209392419844	0.932286733387326
Gm37567	ENSMUSG00000104046.1	1.15917837018176	1.93459114799388	3.97177203196307	2.00589141263221	1.94164583924871	0.0	2.01871453359787	0.0	1.0658228971864	2.44426650176443	2.13044256210328	6.46367406520429	1.95821326903178	1.09776758480254	1.06629180944506	3.46013681765888	0.0	0.0	2.00235851993787	2.0340848793908	2.69774156465007	1.99202592418281	0.901209392419844	3.7291469335493
Oprk1	ENSMUSG00000025905.13	0.0	1.93459114799388	0.0	0.0	0.0	0.976165846763662	0.0	0.0	0.0	0.0	2.13044256210328	0.0	0.0	0.0	0.0	0.0	1.91836963914598	2.98987407529219	3.0035377799068	3.0511273190862	0.89924718821669	1.99202592418281	5.40725635451906	3.7291469335493
Gm36965	ENSMUSG00000103936.1	0.0	0.0	0.0	0.0	0.0	0.0	1.00935726679894	0.0	0.0	1.22213325088222	0.0	0.0	0.0	1.09776758480254	0.0	0.0	0.0	0.996624691764065	0.0	1.0170424396954	0.89924718821669	0.996012962091404	0.0	0.0
Npbwr1	ENSMUSG00000033774.4	0.0	0.0	0.0	0.0	0.0	0.0	1.00935726679894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06629180944506	0.692027363531777	0.0	0.996624691764065	0.0	0.0	0.89924718821669	0.0	0.0	0.0
Rb1cc1	ENSMUSG00000025907.14	7721.2871237807	7043.84636984571	8052.76779480511	7318.49481898862	8149.08758732685	7206.05628080935	7929.51068797244	6907.56219538986	9516.73264897733	7948.75466373793	9953.42765014655	9455.06242258084	8852.10308265814	8792.02058668353	10581.8799169328	8983.207206006	10762.0536756089	9529.72530264799	11936.0591373496	10824.3826856782	11803.5185925323	12005.9402450498	11858.1131854603	11962.1710760928
4732440D04Rik	ENSMUSG00000090031.2	179.672647378173	224.41257316729	239.299264925775	225.662783921124	216.493511076231	185.471510885096	173.609449889417	280.752144444526	203.572173362602	285.979180706439	307.848950223925	284.401658868989	189.946687096082	226.140122469323	328.417877309079	321.100696678744	225.408432599653	214.274308729274	241.284201652513	278.66962847654	271.57265084144	305.775979362061	223.499929320121	203.238507878437
